Date,Ticker,Weight,Strategy
2024-12-31,GOOGL,0.199087974898545,min_variance
2024-12-31,AMZN,0.4,min_variance
2024-12-31,TSLA,0.0,min_variance
2022-01-03,AAPL,0.20436804417893076,risk_parity
2022-01-03,MSFT,0.23408003706598898,risk_parity
2022-01-03,GOOGL,0.23242479804401844,risk_parity
2022-01-03,AMZN,0.2271255696376384,risk_parity
2022-01-03,TSLA,0.1020015510734233,risk_parity
2022-03-31,AAPL,0.20910358490530204,risk_parity
2022-03-31,MSFT,0.2266004119779676,risk_parity
2022-03-31,GOOGL,0.232347955791996,risk_parity
2022-03-31,AMZN,0.22833019093728357,risk_parity
2022-03-31,TSLA,0.1036178563874508,risk_parity
2022-06-30,AAPL,0.2129198732551815,risk_parity
2022-06-30,MSFT,0.2145167082641665,risk_parity
2022-06-30,GOOGL,0.23524644881861623,risk_parity
2022-06-30,AMZN,0.23115930079671376,risk_parity
2022-06-30,TSLA,0.10615766886532199,risk_parity
2022-09-30,AAPL,0.21582817816229918,risk_parity
2022-09-30,MSFT,0.20877403410701342,risk_parity
2022-09-30,GOOGL,0.23470126583099346,risk_parity
2022-09-30,AMZN,0.23224594570521087,risk_parity
2022-09-30,TSLA,0.10845057619448308,risk_parity
2023-03-31,AAPL,0.2266730245208527,risk_parity
2023-03-31,MSFT,0.19123430965726052,risk_parity
2023-03-31,GOOGL,0.2249006068882541,risk_parity
2023-03-31,AMZN,0.24676888909102537,risk_parity
2023-03-31,TSLA,0.11042316984260732,risk_parity
2023-06-30,AAPL,0.2296351947222934,risk_parity
2023-06-30,MSFT,0.1874115948717162,risk_parity
2023-06-30,GOOGL,0.2261081688398978,risk_parity
2023-06-30,AMZN,0.2458939425145846,risk_parity
2023-06-30,TSLA,0.11095109905150813,risk_parity
2024-09-30,AAPL,0.2482958954936106,risk_parity
2024-09-30,MSFT,0.1797850927383066,risk_parity
2024-09-30,GOOGL,0.21111531041896003,risk_parity
2024-09-30,AMZN,0.2466891762322925,risk_parity
2024-09-30,TSLA,0.11411452511683033,risk_parity
2024-12-31,AAPL,0.25262461343156034,risk_parity
2024-12-31,MSFT,0.17868406823365174,risk_parity
2024-12-31,GOOGL,0.2093109434432275,risk_parity
2024-12-31,AMZN,0.24847539852058922,risk_parity
2024-12-31,TSLA,0.11090497637097124,risk_parity
